Index, Target, Period, P Error, Width1, D1 Error, Width2, D2 Error, Depth1, A1 Error, Depth2, A2 Error
59,TIC 273885188,1.886,0.010000000000000009,0.2769283928954268,0.0035529333711071405,0.2809860760484203,0.0037441462801365054,0.4157368196919517,0.0021604940012099794,0.4106334429042585,0.002251995746198438
69,TIC 270616815,6.095872924804688,0.009999999999999787,0.07270145634551205,0.0006737587999411309,0.07237370510187979,0.0004634173271182915,0.4852284935704798,0.0015488869242556874,0.4785870050572996,0.0015120108476955833
107,TIC 122304494,5.952000000000001,0.009999999999999787,0.04694854204427888,4.217478837637991e-05,0.04689082428440743,4.0678606933428746e-05,0.4762470101441174,0.00018208526558855559,0.474481819866827,0.00017307542980479851
136,TIC 172422394,4.808176074218751,0.009999999999999787,0.06244310711326595,5.60173421937271e-05,0.06256057327616427,6.074331139823939e-05,0.34641274750353723,0.0001471342145281008,0.33634935074052946,0.00016056024605311378
146,TIC 268289462,8.762213916015625,0.009999999999999787,0.02638700749671371,0.0006903632904316726,0.026413006955333482,0.0006929416622772442,0.39858084100345254,0.004980898214332581,0.3985108088806805,0.005006832028929835
149,TIC 89522181,4.696197290039063,0.009999999999999787,0.03897175831861173,0.0004426421448537313,0.037815568478032836,0.0004027354437672508,0.4410036939562933,0.002238848220990362,0.4323223026710106,0.002053941792242094
151,TIC 271877841,4.075,0.009999999999999787,0.054341234268704394,6.365256565479222e-05,0.05417018700319605,6.44001490872731e-05,0.33164248176498945,0.00019064145564234416,0.32506132996715414,0.00018919754847762906
154,TIC 99813351,19.374000000000002,0.010000000000001563,0.021630238661007575,0.00035147101785698413,0.02879093997658263,0.0004766500355697241,0.30508989636527206,0.0030009609750573773,0.3024284022419753,0.0028226070652224954
156,TIC 421334320,8.900977783203126,0.009999999999999787,0.022541427720237532,0.00015934068355608183,0.02966182889856154,0.00038178495994500074,0.4347695942208298,0.0013874523464393422,0.39749106791296207,0.002135835619881509
170,TIC 273874851,4.0884990234375,0.009999999999999787,0.07965236662435268,0.00041770018721372934,0.07974839723494132,0.00040222512138951604,0.4293505409518258,0.0010250325971317461,0.4290305148840838,0.0010084258523981693
203,TIC 11119600,1.2210298095703123,0.002525252525252597,0.12722059512245326,0.0001953742753644408,0.1264132467116258,0.00020260550618470284,0.5427760635769687,0.00036465490105843274,0.5184479478896341,0.00036768755314804864
206,TIC 295804815,3.057,0.009999999999999787,0.08603800841027698,4.849863094511323e-05,0.08598681805256977,4.966509226315755e-05,0.48494861850659143,0.00011475888516932617,0.48179898883268,0.00011931218235087198
221,TIC 237277760,3.3630144531249995,0.009999999999999787,0.06731951871284209,0.00043860280139900435,0.06611010032907244,0.0005553882486812933,0.4871669195140139,0.0013841658820561288,0.48635821315102623,0.0014299784674711672
266,TIC 233720276,2.198892626953125,0.009999999999999787,0.0855915892489103,9.535362459522823e-05,0.08103070188325465,0.0001062281956443466,0.4397317842358074,0.00022639120373730198,0.41925155753310944,0.0002511542324267331
283,TIC 92776364,0.846061962890625,0.0015151515151514694,0.28300504610832355,0.0011691588556498455,0.28103632630112496,0.0011847679780229085,0.5566176734004623,0.0009816449545713328,0.5406434073018008,0.0009965581455235412
296,TIC 452544997,2.2450548095703127,0.006363636363636349,0.12210017316193772,0.00010326206048652089,0.12161256773733373,0.00010499849904111206,0.496579837271698,0.00017742732277460188,0.496417557472276,0.00018317974885628832
