Index Target Period Width1 Width2 Depth1 Depth2
10 TIC-364325969 0.41996923828125 0.39071984662651693 0.3923423947880744 0.4144103297342025 0.39272790632002846
15 TIC-140757590 0.41810715332031245 0.40457914340875634 0.4171474058977458 0.37885502950222527 0.3504127613190239
30 TIC-177258700 0.6880000000000001 0.39751630968362706 0.433229025480042 0.43587910711974265 0.40022530148850266
62 TIC-349480507 3.1245338867187504 0.08851022590835941 0.08861115068639583 0.37939931976450514 0.3793349756525841
75 TIC-33715938 2.876838641357422 0.07202037092327705 0.0707417666608185 0.3423184237747591 0.34447370940991984
77 TIC-149629043 2.18805341796875 0.0735200701691888 0.07390203206673435 0.38787300919527345 0.36782728815923904
103 TIC-294273900 0.4720230468750001 0.3444677056651606 0.3536228499749583 0.35557083936892575 0.3351453124364904
105 TIC-157175641 0.37009033203124997 0.33558196927404327 0.33614196673740193 0.39925475237285146 0.3894118913652246
117 TIC-382266319 0.3440755859375 0.3873651420078943 0.3684523313780462 0.48089795711374894 0.44044139965934115
120 TIC-231093356 3.4700847167968747 0.061866629520720216 0.06163762113975407 0.41231182919979814 0.38645866368946286
140 TIC-124205037 0.3329349609375 0.4001524270699122 0.3928222212653134 0.4125151744771919 0.3833985327546414
172 TIC-415873588 3.4917442382812496 0.09319136824920748 0.09322545498404278 0.4230882832419893 0.41663660304839034
207 TIC-348897766 0.442 0.3660746927236762 0.3586761296474641 0.35042573141790245 0.3316029558109762
210 TIC-165458777 0.2929213134765625 0.36534509141011495 0.36353241205211206 0.4315078516926707 0.422343113341783
229 TIC-425064757 0.5230191528320313 0.05231027242260841 0.052555254414036474 0.39001890418537133 0.38694974355664175
238 TIC-158713903 3.5925261718750003 0.09471381141206273 0.09396322059589816 0.45386122344742474 0.44544435711234254
246 TIC-30034081 4.689770996093751 0.05962491646922296 0.060257158024047484 0.4854172049690462 0.4738066011821723
251 TIC-158673914 0.37310927734375 0.36903351116434663 0.3524283233951275 0.4879371472243611 0.4452650389915991
262 TIC-452734608 3.9921226318359375 0.08171015371463972 0.08158907607548403 0.49748627423867087 0.5041895316424516
268 TIC-147214032 2.4879392578125 0.0832348316007423 0.08178757052821684 0.3206108811415309 0.31630408900451684
270 TIC-350622185 1.16957080078125 0.13348835580239327 0.1317398400778408 0.314619229483892 0.30714923274588
287 TIC-118313102 9.261699652099608 0.03259834632176345 0.049884759142657345 0.44791021943710296 0.46028311808223693
291 TIC-141914317 0.43686413764953624 0.3084706330214566 0.307191785179299 0.3032402455555645 0.30474343328538966
298 TIC-141268467 4.181051037597657 0.05679731502844187 0.0557197990132553 0.4963608654175116 0.46702104891294505
300 TIC-89787778 1.0821584960937498 0.32333045490235324 0.30794510493794114 0.5967458311293063 0.5890505373737149
340 TIC-374859582 1.3049840698242186 0.14084406660475263 0.14130639566472888 0.4882742165621242 0.479704158956887
376 TIC-312907176 1.51596298828125 0.14549338490798297 0.1432481447334737 0.5965336360074645 0.5742509262521956
379 TIC-405533713 0.28 0.3669835724773886 0.33342267593910635 0.3099168825977516 0.28429444668446935
435 TIC-418532689 0.3808186157226562 0.2678226870178511 0.34734331416762454 0.29734957349088875 0.3066781818131096
493 TIC-260541250 0.33598359375 0.3812530684763026 0.37529845099752907 0.3996942788581836 0.3909534522822175
509 TIC-75969405 9.221774853515626 0.02298800702493605 0.022963596180426503 0.41385722029485306 0.41301115562529955
618 TIC-306272819 2.546 0.07096714321011056 0.06980413482635135 0.40129279512253135 0.38875506508177693
676 TIC-290410988 0.28597207031250005 0.4169514593291659 0.3859052771651815 0.5150858919094797 0.4983933225991354
790 TIC-90911675 3.962806494140625 0.0796781170319987 0.07956211790192269 0.4907052003900716 0.45391112515453375
816 TIC-211215485 1.7010830566406248 0.16027616399012778 0.1651467095028777 0.32327150478960026 0.30555979549869333
853 TIC-320173862 0.396053173828125 0.1231593863510764 0.1239557202873944 0.36409979582969443 0.365397552488846
871 TIC-121273032 3.4751696777343755 0.06044655061102336 0.060467350152389195 0.343688349620496 0.3421042518455072
875 TIC-120499528 0.36903603515625 0.42498324867288534 0.4075724796619864 0.4683614690507616 0.4566599727603843
894 TIC-27843942 1.5219628417968751 0.07456442373138505 0.07640790854039742 0.38693396468516117 0.36678476276147853
907 TIC-272176884 0.835122314453125 0.40141208796815886 0.40759153321985525 0.46444711156930274 0.4254901635501446
908 TIC-281948821 0.22406220703125004 0.18287613656412965 0.18242829190165943 0.5140536590412093 0.5286629677762662
929 TIC-266920154 4.708057470703125 0.07071546894584986 0.06858322238697141 0.40855471872661664 0.3862176648947181
930 TIC-138971570 3.0039266601562504 0.08363763890195317 0.08371296387885022 0.4298709350033592 0.4202714847819536
933 TIC-122375269 3.7836304687499998 0.0873286798511187 0.08769405042016282 0.6229541505271816 0.6235975278893134
939 TIC-263930790 1.1233290039062498 0.24331517951349568 0.24385229000966788 0.3087812078732374 0.2839788993794009
944 TIC-274347939 9.705355407714844 0.023263591003239555 0.023894138883622375 0.43278861807569935 0.43174498364123726
965 TIC-424719589 15.28272015991211 0.010233338823205883 0.010278181617419772 0.37962016404898963 0.3811885587773093
981 TIC-270704947 5.319740234375001 0.05367196680960261 0.05315427709311035 0.42115244371459193 0.41747683291077586
986 TIC-120684604 1.459857421875 0.1435160130403895 0.13948627177148193 0.3346437390871806 0.31527521255580887
988 TIC-243319567 0.4391118667602539 0.3610137815579274 0.3518517195899813 0.4543386963637339 0.4438340533118625
990 TIC-427041696 4.00580439453125 0.08418052690335176 0.08636810653782426 0.4684762648799672 0.45818892678810486
991 TIC-237130278 0.4130100830078125 0.40648256273032024 0.4224410653422743 0.30016575366105 0.27687168728255473
997 TIC-199420503 2.386 0.10500837311074812 0.106407445804472 0.3980454816051741 0.37031226175067455
1004 TIC-121213501 0.4740462890625 0.34309305172990534 0.34595241257191145 0.3498881675150868 0.3186126494760154
1067 TIC-158218818 0.4232220336914062 0.3969152016312648 0.3768857401544006 0.3456964734665574 0.31557142996274934
