Index, Target, Period, P Error, Width1, D1 Error, Width2, D2 Error, Depth1, A1 Error, Depth2, A2 Error
2384,TIC 357111084,0.25290039978027345,0.010000000000000009,0.25502470214646356,0.005971040523090863,0.27038711150578876,0.004467278451648442,0.08200629543088604,0.0007373757631108642,0.06191702744212925,0.0005666072635124408
2385,TIC 147610499,0.52979296875,0.010000000000000009,0.3036602814037789,0.005694214345075674,0.2974021310392672,0.004520950128232369,0.20516308614000667,0.0013707971718440234,0.16674273668110684,0.0013718492755682116
2386,TIC 139303531,0.539,0.010000000000000009,0.23680640050698268,0.011721021043505163,0.2022497234368516,0.022429922852216892,0.001247726275521852,2.418631834277903e-05,0.0002822437848062664,2.2855868169504583e-05
2387,TIC 197183006,1.6989999999999998,0.010000000000000009,0.023791911998548184,0.0007563210432163577,0.022148020084522796,0.0009870965169244967,0.22043431005902178,0.003734729070045968,0.1401967180244003,0.0035406423462418235
2388,TIC 139252264,1.132834033203125,0.010000000000000009,0.07228562645940467,0.001252391801784786,0.06693604653703386,0.0010208050421029121,0.0035040254131479664,2.8768485005513117e-05,0.003549616940743875,2.8371355174673824e-05
2389,TIC 191933664,9.815820263671874,0.009999999999999787,0.024677388164636466,1.4999512244328518e-05,0.024811838977758377,2.8668187388324588e-05,0.49049752114813505,0.00012677747951741315,0.4243499491082242,0.00021631915939011601
2390,TIC 286917658,0.32187421875,0.010000000000000009,0.304965428725778,0.007703892257470116,0.26097082840097285,0.00624178078005244,0.00221754500345262,2.123853685244067e-05,0.0017013969685900055,2.2343006711551094e-05
2391,TIC 461660512,1.1658861328124999,0.010000000000000009,0.2855817627855053,0.00854855304697009,0.3254313944295074,0.007678737060759771,0.005717689896334042,9.985367022053054e-05,0.006688156887036869,9.258502810075333e-05
2392,TIC 16485009,1.001926611328125,0.010000000000000009,0.2645332224436808,0.01824596211977157,0.42380868429057444,0.009587793295929398,0.03696661074162949,0.0010999958332461154,0.1065144345958932,0.0010916982443224688
2393,TIC 38215399,5.6794453125,0.009999999999999787,0.02522661822780209,0.0007256589731922183,0.0057617183606256915,1.1847778919294476,0.07985777587725815,0.0014233283233994745,-9.781649913260146e-05,0.002718596369658682
2394,TIC 456260162,2.95902138671875,0.009999999999999787,0.08856270606448556,0.002093337761717083,0.09979414344509005,0.002252603985393121,0.010966550955904231,0.0001544363159149547,0.011620044125905242,0.0001432371476109375
2395,TIC 81038220,4.714093103027343,0.009999999999999787,0.05063568452196367,0.0019155456620819854,0.04236500967838419,0.0029918410995164384,0.46144067925306725,0.00839855962980202,0.2664670833008198,0.009762680641969067
2396,TIC 102841799,10.345335760498049,0.009999999999999787,0.25660676456497983,0.0052253487909085855,0.20630985169623173,0.0007536656404266596,0.011068523476590094,0.0002196958498117289,0.010870443990753965,0.0001470503518490715
2397,TIC 67565466,5.714677587890625,0.009999999999999787,0.26144993981012354,0.00888039722710333,0.2599614300366252,0.011577038279641063,0.008294399576006526,0.00014383268434239703,0.008888510511456624,0.00019332752530058268
2398,TIC 371165722,2.25010986328125,0.009999999999999787,0.056245119279128175,0.0005229576340870467,0.31857290114605386,0.019026238363617727,0.014579899255695404,0.00011647986265128465,0.0024728427390153006,6.20608223510503e-05
2399,TIC 312865025,2.734200244140625,0.009999999999999787,0.11935656795469654,0.0001766748515489878,0.11773483532841005,0.00016874115931923313,0.39279449467106303,0.00026510229829817893,0.38708366570131586,0.00025397010843586284
2400,TIC 240155327,6.122925256347656,0.009999999999999787,0.02507548771876606,0.0004306229701183057,0.021903522573676292,0.0018686218984581098,0.020263545121318983,0.00019060415603380668,0.0035566537428516004,0.0002110570807608114
2401,TIC 16805617,16.983378027343754,0.010000000000001563,0.008626842479611034,0.00021092813135770497,0.007913867390386985,0.00013979620578899183,0.1485815082518324,0.0017792052037058168,0.1389233909980708,0.0012590737645724163
2402,TIC 101547609,7.8054751953125,0.009999999999999787,0.28393891981546887,0.0055599746854892405,0.2540840593168737,0.009333727648305942,0.2811582705300161,0.0023051395490883576,0.09237640593929888,0.0016926273145503488
2403,TIC 285019418,0.27312643396854386,0.00010101010101010166,0.16109807430780065,0.004282056898301555,0.13515773751709792,0.0037905626998345535,0.4177279799916856,0.005710686020855692,0.7396083407974777,0.009679256605043682
2404,TIC 318230704,10.653390124511718,0.009999999999999787,0.019271998881219936,0.0003341710017540479,0.022527457308469036,0.0035545584004089167,0.10020472504625237,0.0010917643659490914,0.013082448508380497,0.0014212922819467
2405,TIC 9361438,8.607894921874998,0.009999999999999787,0.02353465419948881,4.40751806844916e-05,0.023975381058585554,0.00011426558549787318,0.28383802418265264,0.00026455564706113783,0.09056811515766802,0.00022749699843283138
2406,TIC 289716926,0.59094228515625,0.010000000000000009,0.3873826380297517,0.003913441828653832,0.18331645164628863,0.0025238640597772953,0.10005767091478181,0.000384918879009948,0.06755231404023958,0.00042731656415428504
2407,TIC 142441910,2.8805779785156247,0.009999999999999787,0.04100608122685953,0.00016191931378088447,0.24622199697967936,0.7175340227727381,0.044183425380383126,0.00014177409211931841,0.004792591736953913,5.492381904932686e-05
2408,TIC 233120979,17.577198413085938,0.010000000000001563,0.19468166214145188,0.0005726450662570419,0.0854157283515645,0.0035952862700216535,0.0023279415203443644,3.853911783239116e-05,0.0044462512285535424,0.00010463843578841621
2409,TIC 157847499,0.35086289062500003,0.010000000000000009,0.21876372818535933,0.0035635651069524567,0.23038451032324642,0.003693573237465842,0.008445444220049322,8.576784878477464e-05,0.00891543528436203,8.600435401279886e-05
2410,TIC 457139088,6.651000000000001,0.009999999999999787,0.015498908252873698,0.00012298754308370883,0.014898689541638196,0.00013601956589872502,0.042136408451486626,0.00018179775348775462,0.04039281516141968,0.0002079405091879231
2411,TIC 99784331,0.523,0.010000000000000009,0.3093971517122297,0.00361850362066399,0.2613853659441335,0.005655541372506267,0.10979381422174429,0.0004357079782900866,0.036736772066901735,0.0004327321363387003
2412,TIC 8677671,1.1159455078125,0.004949494949495037,0.1622810394363721,0.00040646728021014164,0.1654497193660799,0.001672910394747869,0.5708843208311614,0.0004964841166368262,0.11910112980260495,0.0005848054055768472
2413,TIC 318210930,0.227933203125,0.010000000000000009,0.32021485374858816,0.008478223690982098,0.3177210747757484,0.009317857366447056,0.11066195314907804,0.0016119467909332982,0.10136593828100957,0.001587696849788622
