Index Target Period Width1 Width2 Depth1 Depth2
0 TIC 185259483 0.3109924072265625 0.4533345961516907 0.4595489494812862 0.38137178784462944 0.34378790624023237
1 TIC 307990280 2.314893041992188 0.41095719266823894 0.35811555518508564 0.040718109579238104 0.03483421521625844
2 TIC 387178621 8.230783593750001 0.12203639508616296 0.20034426252717757 0.45354392620798356 0.10230256902852077
3 TIC 300560295 5.147251318359375 0.03285277989879035 0.00010006174018533329 0.031836660022982584 0.016330541296105682
4 TIC 318185328 0.36808984375 0.4178532952807086 0.40349479217631845 0.37608575960017476 0.3153410235688334
5 TIC 363326796 12.17410142211914 0.01822320536984527 0.018564714796795504 0.07450452749409092 0.0003170354366423486
6 TIC 73764693 0.2789114501953125 0.4403292428210339 0.2591936360540451 0.13074304663610797 0.11225822469680856
7 TIC 31273263 16.32 0.01836047428925284 0.026319087674466276 0.12969678861969558 0.22745591540915774
8 TIC 279955276 1.1493453125 0.39858723123994705 0.4060064364007242 0.06162735068359385 0.0609997461559653
9 TIC 144167463 2.12916796875 0.3711638878608827 0.33856137086932114 0.013203327754722827 0.0084859504148414
10 TIC 364325969 0.41996923828125 0.39071984662651693 0.3923423947880744 0.4144103297342025 0.39272790632002846
11 TIC 302038263 1.5470755371093747 0.10343228389081605 0.30119391396639017 0.05963449342583367 0.015030568352586544
12 TIC 176983267 0.41802041015625 0.4155884653838282 0.4258953685116677 0.1096097712114951 0.10812412780658016
13 TIC 308751185 1.361 0.3818855632709012 0.49999999424775005 0.09818284784963478 0.22373243579945662
14 TIC 341550561 1.10510791015625 0.2776028057945602 0.33081211588919035 0.10858914280100371 0.11459149274264535
15 TIC 140757590 0.41810715332031245 0.40457914340875634 0.4171474058977458 0.37885502950222527 0.3504127613190239
16 TIC 140084919 0.8441748046875001 0.33839266646943444 0.3379438998814325 0.031313317652063855 0.02976201902951007
17 TIC 177118376 0.4118390625 0.3774704153278693 0.3931788678133402 0.10219134616719582 0.09649575525432327
18 TIC 388179896 0.3091985000610351 0.37642891175561777 0.34617665349952176 0.32112529200425144 0.21115959856002176
