Index, Target, Period, P Error, Width1, D1 Error, Width2, D2 Error, Depth1, A1 Error, Depth2, A2 Error
10,TIC 364325969,0.41996923828125,0.0005050505050505083,0.29070037848565455,0.0021857832644537607,0.27138540965335956,0.002066588877575956,0.28061233116969836,0.001074414809623294,0.2521157062910091,0.0010458323034086864
15,TIC 140757590,0.41810715332031245,0.0005050505050505083,0.2909281380756159,0.002646996418117024,0.28901742670604547,0.0028440492178412454,0.23283781333385156,0.0011959402572732417,0.20414483388799232,0.0011938348300647782
30,TIC 177258700,0.6879832031250002,0.0017171717171716727,0.2791481869058685,0.0024819252630336078,0.29564072941154473,0.002888188706325255,0.2744248596213799,0.0012384315775763187,0.2404356788061735,0.0012018222174878875
62,TIC 349480507,3.1245338867187504,0.009999999999999787,0.08857294357282092,0.0003868823816055326,0.08867795197792111,0.0002636205980585618,0.38162898142038804,0.0005523259909619915,0.3810904282754966,0.0005099307773854545
75,TIC 33715938,2.876838641357422,0.009999999999999787,0.07213338252030575,0.0008532066042629377,0.07085537270798305,0.0005674318971936458,0.36487431504840123,0.0015830714023255083,0.34918054606941973,0.001420015467606757
77,TIC 149629043,2.18805341796875,0.0053535353535352215,0.07345155010456203,0.00015983542386241025,0.07382512722767731,0.00017431161742081596,0.38504562827391636,0.0004041961753100762,0.3649616724661908,0.0004217771423036765
103,TIC 294273900,0.47204609375000006,0.010000000000000009,0.2795437298131068,0.0031381020567336,0.27757878664554453,0.0023766925651968196,0.25398940161169686,0.0010764263924311075,0.23095580277800268,0.0010782488069655059
105,TIC 157175641,0.37009033203124997,0.010000000000000009,0.2814259255579906,0.0027410954227875804,0.28245436497573917,0.002158268714219819,0.3107456027526497,0.0011306036461748773,0.29489584585947626,0.0011521398817480745
117,TIC 382266319,0.34407978515625,0.000303030303030305,0.2938549051209726,0.002116533082016256,0.28059642528417894,0.0023819669065612025,0.34818307325248077,0.001312031365748948,0.31160172867711405,0.0013608946289638867
120,TIC 231093356,3.4700847167968747,0.009999999999999787,0.06185135936269008,5.23140860599001e-05,0.061624039062016245,5.158398488898036e-05,0.4115150028050999,0.0001604246774424514,0.3856860935329548,0.00015023099330607165
140,TIC 124205037,0.3329349609375,0.0007070707070707116,0.293129345239114,0.0020475750550865233,0.28615436696323177,0.002375646184133467,0.2834672004766838,0.0010478600471341307,0.25626336836167085,0.0010988387258261732
172,TIC 415873588,3.4917442382812496,0.009999999999999787,0.09315027144273966,5.488181132294444e-05,0.09318197050830213,5.6262969832624776e-05,0.4221693002131388,0.00011623458305198556,0.4156924287305202,0.00011745497258052648
207,TIC 348897766,0.442010791015625,0.0005050505050505083,0.2848624381769242,0.0017477528328618637,0.27699918176708993,0.002047315637407247,0.24177659196581908,0.000746013047980385,0.22462330207743295,0.000727995427731216
210,TIC 165458777,0.29291416015625,0.000303030303030305,0.3024445957956622,0.002876453940609836,0.29401507238290303,0.002550461033138591,0.32517455032751114,0.001435111479524509,0.315018556903091,0.0014833486100803398
229,TIC 425064757,0.5230159606933593,0.010000000000000009,0.05190720937964799,0.00041665005802356264,0.05209596452396427,0.00041536956954755193,0.3820181529639366,0.0017040117193508953,0.37833228860165763,0.001674528317449196
238,TIC 158713903,3.5925261718750003,0.009999999999999787,0.0943821296477673,0.0002901173645974632,0.09372306228580812,0.0003402857423593576,0.44771040157189473,0.0006105806970513836,0.439422276962912,0.000702002241339962
246,TIC 30034081,4.689770996093751,0.009999999999999787,0.05961409846614308,0.00018014201466035138,0.06024460121244907,0.00019688758446398687,0.4843749991671701,0.000664691237603864,0.473154093117759,0.0006837940172802283
251,TIC 158673914,0.373091064453125,0.000303030303030305,0.29445888400681364,0.0021325407260326616,0.28402128696778206,0.0025930217370584204,0.3656250370263722,0.0013053073258372776,0.3282866911243855,0.0013328184262905388
262,TIC 452734608,3.9921226318359375,0.009999999999999787,0.08155816102078317,0.0003435780065125293,0.08145638572591352,0.0003338027146972094,0.49291748192770907,0.0009114961471334908,0.5001983949206282,0.0009090591049329835
268,TIC 147214032,2.4879392578125,0.009999999999999787,0.08321102694898574,5.191651722338443e-05,0.08176639122353282,5.5868202302024045e-05,0.32004637286362986,9.589064378389176e-05,0.31572389338927265,0.00010554985642397934
